name,count,year,month
Tesla,3573,2014,10
Tazzari,2,2014,10
Smart,10,2014,10
Nissan,7871,2014,10
Renault,1319,2014,10
Citroen,2327,2014,10
Volkswagen,17715,2014,10
Mitsubishi,4570,2014,10
Peugeot,5522,2014,10
Lexus,598,2014,10
BMW,8088,2014,10
Fiat,329,2014,10
Toyota,13696,2014,10
MINI,786,2014,10
Ford,6577,2014,10
Kia,3607,2014,10
Skoda,6200,2014,10
Volvo,8303,2014,10
Suzuki,2505,2014,10
Alfa Romeo,80,2014,10
Dacia,120,2014,10
Hyundai,1979,2014,10
Opel,2574,2014,10
Audi,5957,2014,10
Mazda,5276,2014,10
Honda,1806,2014,10
Chevrolet,358,2014,10
Subaru,2054,2014,10
Jeep,167,2014,10
Jaguar,43,2014,10
Morgan,2,2014,10
Porsche,337,2014,10
Land Rover,466,2014,10
Nilsson,9,2014,10
Iveco,1,2014,10
Ssangyong,2,2014,10
Cadillac,2,2014,10
Tesla,2623,2016,10
Smart,53,2016,10
Renault,2523,2016,10
Nissan,6957,2016,10
Mitsubishi,5745,2016,10
Volkswagen,22217,2016,10
BMW,9568,2016,10
Kia,3543,2016,10
Citroen,1576,2016,10
Mercedes-Benz,7529,2016,10
Toyota,14840,2016,10
Peugeot,4101,2016,10
Fiat,101,2016,10
Audi,6181,2016,10
DS,192,2016,10
Lexus,992,2016,10
Hyundai,1917,2016,10
Volvo,6788,2016,10
Alfa Romeo,36,2016,10
Dacia,194,2016,10
Skoda,6583,2016,10
Ssangyong,64,2016,10
Ford,6868,2016,10
Suzuki,2450,2016,10
Honda,1606,2016,10
Jaguar,288,2016,10
Mazda,5642,2016,10
Morgan,2,2016,10
Jeep,61,2016,10
Subaru,1985,2016,10
Land Rover,348,2016,10
Porsche,360,2016,10
Maserati,3,2016,10
Cadillac,1,2016,10
Ford USA,41,2016,10
Ferrari,2,2016,10
Bentley,3,2016,10
Aston Martin,3,2016,10
Tesla,2793,2016,11
Smart,55,2016,11
Renault,2725,2016,11
Mitsubishi,6217,2016,11
Nissan,7528,2016,11
Volkswagen,24319,2016,11
BMW,11231,2016,11
Kia,3886,2016,11
Mercedes-Benz,8333,2016,11
Citroen,1736,2016,11
Toyota,16215,2016,11
Peugeot,4528,2016,11
Audi,6826,2016,11
DS,194,2016,11
Lexus,1081,2016,11
Alfa Romeo,40,2016,11
Volvo,7542,2016,11
fVlINl,789,2016,11
Dacia,225,2016,11
Skoda,7248,2016,11
Opel,3336,2016,11
Ford,7558,2016,11
Ssangyong,77,2016,11
Honda,1715,2016,11
Jaguar,321,2016,11
Mazda,6062,2016,11
Morgan,2,2016,11
Jeep,84,2016,11
Land Rover,380,2016,11
Subaru,2264,2016,11
Porsche,389,2016,11
Maserati,3,2016,11
Ford USA,41,2016,11
Ferrari,2,2016,11
Bentley,3,2016,11
Lamborghini,1,2016,11
Aston Martin,3,2016,11
Tesla,4042,2014,12
Tazzari,2,2014,12
Smart,10,2014,12
Nissan,9192,2014,12
Renault,1633,2014,12
Citroen,2750,2014,12
Volkswagen,21651,2014,12
Mitsubishi,5238,2014,12
Peugeot,6555,2014,12
Lexus,792,2014,12
BMW,9602,2014,12
Toyota,15992,2014,12
Kia,4409,2014,12
MINI,940,2014,12
Ford,7819,2014,12
Volvo,11325,2014,12
Suzuki,2848,2014,12
Alfa Romeo,83,2014,12
Dacia,153,2014,12
Hyundai,2243,2014,12
Audi,7077,2014,12
Opel,2947,2014,12
Mercedes-Benz,6575,2014,12
Chevrolet,425,2014,12
Subaru,2478,2014,12
Jeep,208,2014,12
Jaguar,49,2014,12
Morgan,2,2014,12
Porsche,417,2014,12
Land Rover,578,2014,12
Nilsson,9,2014,12
Iveco,1,2014,12
Ssangyong,2,2014,12
Cadillac,2,2014,12
Smart,56,2016,12
Renault,2949,2016,12
Nissan,8061,2016,12
Mitsubishi,6661,2016,12
BMW,12097,2016,12
Volkswagen,26556,2016,12
Kia,4213,2016,12
Hyundai,2740,2016,12
Mercedes-Benz,8975,2016,12
Citroen,1855,2016,12
Toyota,17453,2016,12
Peugeot,4798,2016,12
Audi,7653,2016,12
Fiat,145,2016,12
DS,200,2016,12
MINI,857,2016,12
Alfa Romeo,43,2016,12
Volvo,8777,2016,12
Dacia,305,2016,12
Ford,8285,2016,12
Skoda,7774,2016,12
Opel,3708,2016,12
Suzuki,2990,2016,12
Ssangyong,82,2016,12
Honda,1832,2016,12
Jaguar,359,2016,12
Mazda,6603,2016,12
Morgan,2,2016,12
Jeep,123,2016,12
Land Rover,444,2016,12
Subaru,2772,2016,12
Maserati,8,2016,12
Cadillac,1,2016,12
Ford USA,41,2016,12
Ferrari,2,2016,12
Bentley,3,2016,12
Aston Martin,3,2016,12
Tesla,71,2015,1
Renault,127,2015,1
Volkswagen,2057,2015,1
Mitsubishi,502,2015,1
Nissan,848,2015,1
Peugeot,373,2015,1
Kia,315,2015,1
Fiat,15,2015,1
BMW,649,2015,1
Toyota,1372,2015,1
Lexus,137,2015,1
MINI,62,2015,1
Audi,302,2015,1
Hyundai,283,2015,1
Alfa Romeo,9,2015,1
Ford,593,2015,1
Suzuki,284,2015,1
Opel,273,2015,1
Skoda,473,2015,1
Mercedes-Benz,543,2015,1
Dacia,13,2015,1
Mazda,393,2015,1
Jeep,25,2015,1
Jaguar,8,2015,1
Subaru,95,2015,1
Porsche,28,2015,1
Land Rover,32,2015,1
Tesla,105,2016,1
Renault,250,2016,1
Smart,6,2016,1
Volkswagen,1743,2016,1
Nissan,673,2016,1
Mitsubishi,199,2016,1
Citroen,182,2016,1
BMW,1089,2016,1
Kia,216,2016,1
Peugeot,437,2016,1
Toyota,1106,2016,1
Audi,559,2016,1
Volvo,643,2016,1
DS,12,2016,1
Lexus,147,2016,1
MINI,67,2016,1
Ssangyong,8,2016,1
Fiat,5,2016,1
Opel,237,2016,1
Ford,746,2016,1
Skoda,528,2016,1
Hyundai,147,2016,1
Honda,135,2016,1
Porsche,60,2016,1
Dacia,1,2016,1
Jeep,4,2016,1
Mazda,621,2016,1
Jaguar,19,2016,1
Subaru,32,2016,1
Land Rover,35,2016,1
Ford USA,6,2016,1
Tesla,215,2018,1
Smart,14,2018,1
Renault,354,2018,1
BMW,1123,2018,1
Kia,383,2018,1
Hyundai,338,2018,1
MINI,69,2018,1
Volkswagen,1380,2018,1
Volvo,645,2018,1
Toyota,1153,2018,1
Nissan,223,2018,1
Audi,264,2018,1
Mercedes-Benz,305,2018,1
Opel,212,2018,1
Seat,13,2018,1
Citroen,168,2018,1
Peugeot,475,2018,1
Porsche,42,2018,1
Suzuki,289,2018,1
Lexus,42,2018,1
Ford,515,2018,1
Dacia,11,2018,1
Honda,68,2018,1
DS,2,2018,1
Skoda,397,2018,1
