name,count,year,month
Nissan Leaf,210,2012,1
Mitsubishi I-MiEV,30,2012,1
Peugeot iOn,8,2012,1
Citroen C-Zero,7,2012,1
Tesla Roadster,2,2012,1
Toyota Prius,102,2012,1
Lexus CT,73,2012,1
Citroen C3,43,2012,1
Smart ForTwo,3,2012,1
Volvo V50,91,2012,1
Kia Picanto,32,2012,1
ToyotaIQ,10,2012,1
Volvo S40,9,2012,1
Toyota Aygo,47,2012,1
Peugeot 107,39,2012,1
Citroen C'I,33,2012,1
Peugeot 207,32,2012,1
ToyotaAuris,184,2012,1
Citroen DS3,36,2012,1
SuzukiAIto,9,2012,1
Renault Clio,4,2012,1
Fiat 500,28,2012,1
Nissan Micra,10,2012,1
Fiat Punto,6,2012,1
Renault Laguna,2,2012,1
Citroen C4,65,2012,1
Peugeot 308,86,2012,1
MINI Mini,35,2012,1
Hyundai i10,11,2012,1
Kia Rio,62,2012,1
Volvo C30,7,2012,1
MINI Clubman,4,2012,1
Volkswagen Polo,179,2012,1
HondaJazz,18,2012,1
Ford Ka,4,2012,1
ToyotaYaris,381,2012,1
AudiA1,58,2012,1
Toyota Verso-S,134,2012,1
Skoda Fabia,100,2012,1
Renault Megane,34,2012,1
Volkswagen Jetta,8,2012,1
Ford Focus,251,2012,1
Mazda2,68,2012,1
OpelCorsa,32,2012,1
Nissan Leaf,265,2013,1
Mitsubishi I-MiEV,51,2013,1
Peugeot iOn,12,2013,1
Citroen C-Zero,8,2013,1
OpelAmpera,12,2013,1
Toyota Prius,248,2013,1
ToyotaYaris,403,2013,1
Lexus CT,26,2013,1
Citroen DS3,38,2013,1
Fiat 500,27,2013,1
Volkswagen upl,130,2013,1
Skoda Citigo,82,2013,1
Ford Fiesta,127,2013,1
Toyota Aygo,49,2013,1
Peugeot 208,194,2013,1
Peugeot 107,27,2013,1
ToyotaAuris,169,2013,1
Citroen C'l,9,2013,1
Volvo V40,243,2013,1
Kia Picanto,96,2013,1
Citroen C3,48,2013,1
Renault Clio,34,2013,1
SuzukiAlto,22,2013,1
