car_name,count_CM_CY,pct_CM_CY,cum_YTD_CY,pct_YTD_CY,count_CM_LY,pct_CM_LY,cum_YTD_LY,pct_YTD_LY,chg_CM_YOY,chg_YTD_YOY,yearsel,monthsel,velgfordelt
TOTALT,9 656,100,9 656,100,8 233,100,8 233,100,"17,3","17,3",2e3,1,0
1. Toyota Yaris,678,"7,0",678,"7,0",0,"0,0",0,"0,0",,,2e3,1,0
2. Volkswagen Golf,474,"4,9",474,"4,9",640,"7,8",640,"7,8","-25,9","-25,9",2e3,1,0
3. Volkswagen Passat,396,"4,1",396,"4,1",600,"7,3",600,"7,3","-34,0","-34,0",2e3,1,0
4. Ford Focus,389,"4,0",389,"4,0",189,"2,3",189,"2,3","105,8","105,8",2e3,1,0
5. Opel Astra,329,"3,4",329,"3,4",577,"7,0",577,"7,0","-43,0","-43,0",2e3,1,0
6. Volkswagen Polo,297,"3,1",297,"3,1",132,"1,6",132,"1,6","125,0","125,0",2e3,1,0
7. Renault Megane,288,"3,0",288,"3,0",170,"2,1",170,"2,1","69,4","69,4",2e3,1,0
8. Peugeot 406,264,"2,7",264,"2,7",170,"2,1",170,"2,1","55,3","55,3",2e3,1,0
9. Toyota Avensis,261,"2,7",261,"2,7",263,"3,2",263,"3,2","-0,8","-0,8",2e3,1,0
10. Nissan Primera,258,"2,7",258,"2,7",125,"1,5",125,"1,5","106,4","106,4",2e3,1,0
11. Honda HR-V,219,"2,3",219,"2,3",32,"0,4",32,"0,4","584,4","584,4",2e3,1,0
12. Skoda Octavia,201,"2,1",201,"2,1",119,"1,4",119,"1,4","68,9","68,9",2e3,1,0
13. Ford Mondeo,198,"2,1",198,"2,1",198,"2,4",198,"2,4","0,0","0,0",2e3,1,0
14. Suzuki Baleno,197,"2,0",197,"2,0",106,"1,3",106,"1,3","85,8","85,8",2e3,1,0
15. Opel Zafira,190,"2,0",190,"2,0",0,"0,0",0,"0,0",,,2e3,1,0
16. Volvo S40/V40,175,"1,8",175,"1,8",116,"1,4",116,"1,4","50,9","50,9",2e3,1,0
17. BMW 3-serie,174,"1,8",174,"1,8",147,"1,8",147,"1,8","18,4","18,4",2e3,1,0
17. Opel Vectra,174,"1,8",174,"1,8",101,"1,2",101,"1,2","72,3","72,3",2e3,1,0
18. Mazda 323,167,"1,7",167,"1,7",214,"2,6",214,"2,6","-22,0","-22,0",2e3,1,0
18. Peugeot 206,167,"1,7",167,"1,7",209,"2,5",209,"2,5","-20,1","-20,1",2e3,1,0
TOTALT,7 878,100,7 878,100,9 656,100,9 656,100,"-18,4","-18,4",2001.0,1,0
1. Volkswagen Passat,450,"5,7",450,"5,7",396,"4,1",396,"4,1","13,6","13,6",2001.0,1,0
2. Toyota Yaris,422,"5,4",422,"5,4",678,"7,0",678,"7,0","-37,8","-37,8",2001.0,1,0
3. Volkswagen Golf,333,"4,2",333,"4,2",474,"4,9",474,"4,9","-29,7","-29,7",2001.0,1,0
4. Ford Focus,295,"3,7",295,"3,7",389,"4,0",389,"4,0","-24,2","-24,2",2001.0,1,0
5. Peugeot 406,277,"3,5",277,"3,5",264,"2,7",264,"2,7","4,9","4,9",2001.0,1,0
6. Toyota Avensis,248,"3,1",248,"3,1",261,"2,7",261,"2,7","-5,0","-5,0",2001.0,1,0
7. Opel Astra,214,"2,7",214,"2,7",329,"3,4",329,"3,4","-35,0","-35,0",2001.0,1,0
8. Ford Mondeo,213,"2,7",213,"2,7",198,"2,1",198,"2,1","7,6","7,6",2001.0,1,0
9. Opel Zafira,212,"2,7",212,"2,7",190,"2,0",190,"2,0","11,6","11,6",2001.0,1,0
10. Toyota Rav4,204,"2,6",204,"2,6",26,"0,3",26,"0,3","684,6","684,6",2001.0,1,0
11. Audi A4,182,"2,3",182,"2,3",146,"1,5",146,"1,5","24,7","24,7",2001.0,1,0
12. Opel Corsa,166,"2,1",166,"2,1",104,"1,1",104,"1,1","59,6","59,6",2001.0,1,0
13. Peugeot 206,163,"2,1",163,"2,1",167,"1,7",167,"1,7","-2,4","-2,4",2001.0,1,0
14. Toyota Corolla,158,"2,0",158,"2,0",130,"1,3",130,"1,3","21,5","21,5",2001.0,1,0
15. Volvo V70,154,"2,0",154,"2,0",105,"1,1",105,"1,1","46,7","46,7",2001.0,1,0
16. BMW 3-serie,149,"1,9",149,"1,9",174,"1,8",174,"1,8","-14,4","-14,4",2001.0,1,0
17. Skoda Octavia,142,"1,8",142,"1,8",201,"2,1",201,"2,1","-29,4","-29,4",2001.0,1,0
18. Opel Vectra,132,"1,7",132,"1,7",174,"1,8",174,"1,8","-24,1","-24,1",2001.0,1,0
19. Mercedes-Benz C-klasse,128,"1,6",128,"1,6",100,"1,0",100,"1,0","28,0","28,0",2001.0,1,0
19. Renault Megane,128,"1,6",128,"1,6",288,"3,0",288,"3,0","-55,6","-55,6",2001.0,1,0
TOTALT,7 386,100,7 386,100,7 878,100,7 878,100,"-6,2","-6,2",2002.0,1,0
1. Ford Mondeo,398,"5,4",398,"5,4",213,"2,7",213,"2,7","86,9","86,9",2002.0,1,0
2. Toyota Corolla,370,"5,0",370,"5,0",158,"2,0",158,"2,0","134,2","134,2",2002.0,1,0
3. Peugeot 307,329,"4,5",329,"4,5",0,"0,0",0,"0,0",,,2002.0,1,0
4. Volkswagen Golf,313,"4,2",313,"4,2",333,"4,2",333,"4,2","-6,0","-6,0",2002.0,1,0
5. Volkswagen Passat,310,"4,2",310,"4,2",450,"5,7",450,"5,7","-31,1","-31,1",2002.0,1,0
6. Toyota Yaris,272,"3,7",272,"3,7",422,"5,4",422,"5,4","-35,5","-35,5",2002.0,1,0
7. Toyota Rav4,265,"3,6",265,"3,6",204,"2,6",204,"2,6","29,9","29,9",2002.0,1,0
8. Audi A4,220,"3,0",220,"3,0",182,"2,3",182,"2,3","20,9","20,9",2002.0,1,0
9. Volkswagen Polo,207,"2,8",207,"2,8",92,"1,2",92,"1,2","125,0","125,0",2002.0,1,0
10. Peugeot 406,178,"2,4",178,"2,4",277,"3,5",277,"3,5","-35,7","-35,7",2002.0,1,0
11. Renault Laguna,167,"2,3",167,"2,3",60,"0,8",60,"0,8","178,3","178,3",2002.0,1,0
12. Toyota Avensis,163,"2,2",163,"2,2",248,"3,1",248,"3,1","-34,3","-34,3",2002.0,1,0
13. Nissan X-Trail,146,"2,0",146,"2,0",0,"0,0",0,"0,0",,,2002.0,1,0
14. Opel Astra,143,"1,9",143,"1,9",214,"2,7",214,"2,7","-33,2","-33,2",2002.0,1,0
15. Ford Focus,138,"1,9",138,"1,9",295,"3,7",295,"3,7","-53,2","-53,2",2002.0,1,0
15. Opel Zafira,138,"1,9",138,"1,9",212,"2,7",212,"2,7","-34,9","-34,9",2002.0,1,0
16. Saab 9-3,123,"1,7",123,"1,7",91,"1,2",91,"1,2","35,2","35,2",2002.0,1,0
17. Peugeot 206,121,"1,6",121,"1,6",163,"2,1",163,"2,1","-25,8","-25,8",2002.0,1,0
18. Mercedes-Benz C-klasse,109,"1,5",109,"1,5",128,"1,6",128,"1,6","-14,8","-14,8",2002.0,1,0
19. BMW 3-serie,103,"1,4",103,"1,4",149,"1,9",149,"1,9","-30,9","-30,9",2002.0,1,0
TOTALT,6 976,100,6 976,100,7 386,100,7 386,100,"-5,6","-5,6",2003.0,1,0
1. Toyota Rav4,424,"6,1",424,"6,1",265,"3,6",265,"3,6","60,0","60,0",2003.0,1,0
2. Peugeot 307,408,"5,8",408,"5,8",329,"4,5",329,"4,5","24,0","24,0",2003.0,1,0
3. Toyota Corolla,401,"5,7",401,"5,7",370,"5,0",370,"5,0","8,4","8,4",2003.0,1,0
4. Toyota Yaris,292,"4,2",292,"4,2",272,"3,7",272,"3,7","7,4","7,4",2003.0,1,0
5. Volkswagen Passat,249,"3,6",249,"3,6",310,"4,2",310,"4,2","-19,7","-19,7",2003.0,1,0
6. Ford Mondeo,235,"3,4",235,"3,4",398,"5,4",398,"5,4","-41,0","-41,0",2003.0,1,0
7. Volkswagen Golf,210,"3,0",210,"3,0",313,"4,2",313,"4,2","-32,9","-32,9",2003.0,1,0
8. Volvo S40/V40,199,"2,9",199,"2,9",101,"1,4",101,"1,4","97,0","97,0",2003.0,1,0
9. Toyota Avensis,191,"2,7",191,"2,7",163,"2,2",163,"2,2","17,2","17,2",2003.0,1,0
10. Volkswagen Polo,167,"2,4",167,"2,4",207,"2,8",207,"2,8","-19,3","-19,3",2003.0,1,0
11. Audi A4,160,"2,3",160,"2,3",220,"3,0",220,"3,0","-27,3","-27,3",2003.0,1,0
12. Peugeot 206,159,"2,3",159,"2,3",121,"1,6",121,"1,6","31,4","31,4",2003.0,1,0
13. Peugeot 406,152,"2,2",152,"2,2",178,"2,4",178,"2,4","-14,6","-14,6",2003.0,1,0
14. Opel Astra,145,"2,1",145,"2,1",143,"1,9",143,"1,9","1,4","1,4",2003.0,1,0
15. Mazda 6,143,"2,0",143,"2,0",0,"0,0",0,"0,0",,,2003.0,1,0
16. Nissan X-Trail,138,"2,0",138,"2,0",146,"2,0",146,"2,0","-5,5","-5,5",2003.0,1,0
17. Ford Focus,128,"1,8",128,"1,8",138,"1,9",138,"1,9","-7,2","-7,2",2003.0,1,0
18. Hyundai Getz,127,"1,8",127,"1,8",0,"0,0",0,"0,0",,,2003.0,1,0
19. Opel Zafira,113,"1,6",113,"1,6",138,"1,9",138,"1,9","-18,1","-18,1",2003.0,1,0
20. Saab 9-3,107,"1,5",107,"1,5",123,"1,7",123,"1,7","-13,0","-13,0",2003.0,1,0
TOTALT,8 202,100,8 202,100,6 976,100,6 976,100,"17,6","17,6",2004.0,1,0
1. Toyota Avensis,557,"6,8",557,"6,8",191,"2,7",191,"2,7","191,6","191,6",2004.0,1,0
2. Toyota Corolla,401,"4,9",401,"4,9",401,"5,7",401,"5,7","0,0","0,0",2004.0,1,0
3. Volkswagen Golf,351,"4,3",351,"4,3",210,"3,0",210,"3,0","67,1","67,1",2004.0,1,0
4. Ford Focus,299,"3,6",299,"3,6",128,"1,8",128,"1,8","133,6","133,6",2004.0,1,0
4. Peugeot 307,299,"3,6",299,"3,6",408,"5,8",408,"5,8","-26,7","-26,7",2004.0,1,0
