car_name,year,month,count_CM_CY,cum_YTD_CY
TOTALT,1999,1,8233,8233
TOTALT,1999,2,7719,15952
TOTALT,1999,3,9341,25293
TOTALT,1999,4,8507,33800
TOTALT,1999,5,8095,41895
TOTALT,1999,6,9165,51060
TOTALT,1999,7,10292,61352
TOTALT,1999,8,7366,68718
TOTALT,1999,9,8299,77017
TOTALT,1999,10,8443,85460
TOTALT,1999,11,8794,94254
TOTALT,1999,12,7024,101278
TOTALT,2e3,1,9656,9656
TOTALT,2e3,2,7972,17628
TOTALT,2e3,3,9098,26726
TOTALT,2e3,4,7668,34394
TOTALT,2e3,5,9871,44265
TOTALT,2e3,6,8485,52750
TOTALT,2e3,7,8975,61725
TOTALT,2e3,8,7465,69190
TOTALT,2e3,9,7162,76352
TOTALT,2e3,10,7281,83633
TOTALT,2e3,11,7500,91133
TOTALT,2e3,12,6245,97378
TOTALT,2001,1,7878,7878
TOTALT,2001,2,6664,14542
TOTALT,2001,3,8233,22775
TOTALT,2001,4,7188,29963
TOTALT,2001,5,8671,38634
TOTALT,2001,6,7889,46523
TOTALT,2001,7,8891,55414
TOTALT,2001,8,7789,63203
TOTALT,2001,9,7058,70261
TOTALT,2001,10,8342,78603
TOTALT,2001,11,7491,86094
TOTALT,2001,12,5822,91916
TOTALT,2002,1,7386,7386
TOTALT,2002,2,7024,14410
TOTALT,2002,3,7068,21478
TOTALT,2002,4,8833,30311
TOTALT,2002,5,7912,38223
TOTALT,2002,6,7324,45547
TOTALT,2002,7,8724,54271
TOTALT,2002,8,7273,61544
TOTALT,2002,9,6985,68529
TOTALT,2002,10,8089,76618
TOTALT,2002,11,6781,83399
TOTALT,2002,12,5322,88721
TOTALT,2003,1,6976,6976
TOTALT,2003,2,6544,13520
TOTALT,2003,3,6940,20460
TOTALT,2003,4,7024,27484
TOTALT,2003,5,8164,35648
TOTALT,2003,6,7725,43373
TOTALT,2003,7,8692,52065
TOTALT,2003,8,6818,58883
TOTALT,2003,9,7658,66541
TOTALT,2003,10,9072,75613
TOTALT,2003,11,8029,83642
TOTALT,2003,12,6278,89920
TOTALT,2004,1,8202,8202
TOTALT,2004,2,8326,16528
TOTALT,2004,3,10961,27489
TOTALT,2004,4,9405,36894
TOTALT,2004,5,9161,46055
TOTALT,2004,6,9262,55317
TOTALT,2004,7,9981,65298
TOTALT,2004,8,8165,73463
TOTALT,2004,9,9320,82783
TOTALT,2004,10,10031,92814
TOTALT,2004,11,10455,103269
TOTALT,2004,12,12376,115645
TOTALT,2005,1,7375,7375
TOTALT,2005,2,8325,15700
TOTALT,2005,3,9493,25193
TOTALT,2005,4,10089,35282
TOTALT,2005,5,9714,44996
TOTALT,2005,6,9879,54875
TOTALT,2005,7,9690,64565
TOTALT,2005,8,8544,73109
TOTALT,2005,9,8795,81904
TOTALT,2005,10,8884,90788
TOTALT,2005,11,9180,99968
TOTALT,2005,12,9939,109907
TOTALT,2006,1,7458,7458
TOTALT,2006,2,7345,14803
TOTALT,2006,3,9819,24622
TOTALT,2006,4,8350,32972
TOTALT,2006,5,10415,43387
TOTALT,2006,6,9538,52925
TOTALT,2006,7,10154,63079
TOTALT,2006,8,8793,71872
TOTALT,2006,9,8842,80714
TOTALT,2006,10,8673,89387
TOTALT,2006,11,8744,98131
TOTALT,2006,12,11033,109164
TOTALT,2007,1,12685,12685
TOTALT,2007,2,9793,22478
TOTALT,2007,3,11264,33742
TOTALT,2007,4,8854,42596
TOTALT,2007,5,12007,54603
TOTALT,2007,6,11083,65686
TOTALT,2007,7,12062,77748
TOTALT,2007,8,10786,88534
TOTALT,2007,9,9340,97874
TOTALT,2007,10,11646,109520
TOTALT,2007,11,10453,119973
TOTALT,2007,12,9222,129195
TOTALT,2008,1,9901,9901
TOTALT,2008,2,10567,20468
TOTALT,2008,3,9506,29974
TOTALT,2008,4,11704,41678
TOTALT,2008,5,10217,51895
TOTALT,2008,6,9670,61565
TOTALT,2008,7,9605,71170
TOTALT,2008,8,7833,79003
TOTALT,2008,9,8453,87456
TOTALT,2008,10,8390,95846
TOTALT,2008,11,6952,102798
TOTALT,2008,12,7819,110617
TOTALT,2009,1,5353,5353
TOTALT,2009,2,6287,11640
TOTALT,2009,3,7601,19241
TOTALT,2009,4,7504,26745
TOTALT,2009,5,7421,34166
TOTALT,2009,6,7581,41747
TOTALT,2009,7,9394,51141
TOTALT,2009,8,7967,59108
TOTALT,2009,9,9530,68638
TOTALT,2009,10,10187,78825
TOTALT,2009,11,9600,88425
TOTALT,2009,12,10250,98675
TOTALT,2010,1,9697,9697
TOTALT,2010,2,9094,18791
TOTALT,2010,3,11486,30277
TOTALT,2010,4,10677,40954
TOTALT,2010,5,9896,50850
TOTALT,2010,6,11119,61969
TOTALT,2010,7,11507,73476
TOTALT,2010,8,10414,83890
TOTALT,2010,9,11137,95027
TOTALT,2010,10,10683,105710
TOTALT,2010,11,11908,117618
TOTALT,2010,12,10136,127754
TOTALT,2011,1,10372,10372
TOTALT,2011,2,10543,20915
TOTALT,2011,3,12901,33816
TOTALT,2011,4,11330,45146
TOTALT,2011,5,13005,58151
TOTALT,2011,6,10354,68505
TOTALT,2011,7,11189,79694
TOTALT,2011,8,11464,91158
TOTALT,2011,9,11737,102895
TOTALT,2011,10,11543,114438
TOTALT,2011,11,12357,126795
TOTALT,2011,12,11550,138345
TOTALT,2012,1,10838,10838
TOTALT,2012,2,10925,21763
TOTALT,2012,3,13051,34814
TOTALT,2012,4,10876,45690
TOTALT,2012,5,12612,58302
TOTALT,2012,6,11053,69355
TOTALT,2012,7,11920,81275
TOTALT,2012,8,11790,93065
TOTALT,2012,9,11134,104199
TOTALT,2012,10,12413,116612
TOTALT,2012,11,11986,128598
TOTALT,2012,12,9369,137967
TOTALT,2013,1,11639,11639
TOTALT,2013,2,11322,22961
TOTALT,2013,3,10735,33696
TOTALT,2013,4,13988,47684
TOTALT,2013,5,12012,59696
TOTALT,2013,6,10948,70644
TOTALT,2013,7,11312,81956
