car_name,count_CM_CY,pct_CM_CY,cum_YTD_CY,pct_YTD_CY,count_CM_LY,pct_CM_LY,cum_YTD_LY,pct_YTD_LY,chg_CM_YOY,chg_YTD_YOY,yearsel,monthsel,velgfordelt
TOTALT,9 207,100,9 207,100,13 055,100,13 055,100,"-29,5","-29,5",2018,1,1
1. Volkswagen,1 384,"15,0",1 384,"15,0",1 688,"12,9",1 688,"12,9","-18,0","-18,0",2018,1,1
2. Toyota,1 153,"12,5",1 153,"12,5",1 526,"11,7",1 526,"11,7","-24,4","-24,4",2018,1,1
3. BMW,1 123,"12,2",1 123,"12,2",1 540,"11,8",1 540,"11,8","-27,1","-27,1",2018,1,1
4. Volvo,650,"7,1",650,"7,1",1 158,"8,9",1 158,"8,9","-43,9","-43,9",2018,1,1
5. Ford,515,"5,6",515,"5,6",617,"4,7",617,"4,7","-16,5","-16,5",2018,1,1
6. Peugeot,475,"5,2",475,"5,2",571,"4,4",571,"4,4","-16,8","-16,8",2018,1,1
7. Skoda,397,"4,3",397,"4,3",681,"5,2",681,"5,2","-41,7","-41,7",2018,1,1
8. Kia,383,"4,2",383,"4,2",422,"3,2",422,"3,2","-9,2","-9,2",2018,1,1
9. Renault,354,"3,8",354,"3,8",306,"2,3",306,"2,3","15,7","15,7",2018,1,1
10. Hyundai,338,"3,7",338,"3,7",349,"2,7",349,"2,7","-3,2","-3,2",2018,1,1
11. Mercedes-Benz,308,"3,3",308,"3,3",970,"7,4",970,"7,4","-68,2","-68,2",2018,1,1
12. Suzuki,289,"3,1",289,"3,1",352,"2,7",352,"2,7","-17,9","-17,9",2018,1,1
13. Audi,264,"2,9",264,"2,9",565,"4,3",565,"4,3","-53,3","-53,3",2018,1,1
14. Mazda,237,"2,6",237,"2,6",284,"2,2",284,"2,2","-16,5","-16,5",2018,1,1
15. Nissan,223,"2,4",223,"2,4",615,"4,7",615,"4,7","-63,7","-63,7",2018,1,1
16. Tesla,215,"2,3",215,"2,3",367,"2,8",367,"2,8","-41,4","-41,4",2018,1,1
17. Opel,213,"2,3",213,"2,3",191,"1,5",191,"1,5","11,5","11,5",2018,1,1
18. Citroen,168,"1,8",168,"1,8",163,"1,2",163,"1,2","3,1","3,1",2018,1,1
19. Mitsubishi,119,"1,3",119,"1,3",216,"1,7",216,"1,7","-44,9","-44,9",2018,1,1
20. Subaru,70,"0,8",70,"0,8",39,"0,3",39,"0,3","79,5","79,5",2018,1,1
21. MINI,69,"0,7",69,"0,7",65,"0,5",65,"0,5","6,2","6,2",2018,1,1
22. Honda,68,"0,7",68,"0,7",101,"0,8",101,"0,8","-32,7","-32,7",2018,1,1
23. Lexus,42,"0,5",42,"0,5",98,"0,8",98,"0,8","-57,1","-57,1",2018,1,1
23. Porsche,42,"0,5",42,"0,5",91,"0,7",91,"0,7","-53,8","-53,8",2018,1,1
24. Land Rover,38,"0,4",38,"0,4",18,"0,1",18,"0,1","111,1","111,1",2018,1,1
25. Smart,14,"0,2",14,"0,2",1,"0,0",1,"0,0","1 300,0","1 300,0",2018,1,1
26. Seat,13,"0,1",13,"0,1",0,"0,0",0,"0,0",,,2018,1,1
27. Dacia,11,"0,1",11,"0,1",9,"0,1",9,"0,1","22,2","22,2",2018,1,1
28. Jaguar,10,"0,1",10,"0,1",27,"0,2",27,"0,2","-63,0","-63,0",2018,1,1
29. Ssangyong,8,"0,1",8,"0,1",1,"0,0",1,"0,0","700,0","700,0",2018,1,1
30. Alfa Romeo,7,"0,1",7,"0,1",6,"0,0",6,"0,0","16,7","16,7",2018,1,1
31. Jeep,3,"0,0",3,"0,0",0,"0,0",0,"0,0",,,2018,1,1
32. DS,2,"0,0",2,"0,0",9,"0,1",9,"0,1","-77,8","-77,8",2018,1,1
33. Fiat,1,"0,0",1,"0,0",3,"0,0",3,"0,0","-66,7","-66,7",2018,1,1
33. Maserati,1,"0,0",1,"0,0",2,"0,0",2,"0,0","-50,0","-50,0",2018,1,1
34. Ferrari,0,"0,0",0,"0,0",1,"0,0",1,"0,0","-100,0","-100,0",2018,1,1
34. Nilsson,0,"0,0",0,"0,0",3,"0,0",3,"0,0","-100,0","-100,0",2018,1,1
